Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
FH Allen,Not Available,Not Available,Batsman,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,FH Allen is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,184.1,0.0,0.0,0.0,0,0
BKG Mendis,Not Available,Not Available,New Addition,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,BKG Mendis is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,181.8,0.0,0.0,0.0,0,0
R Shepherd,Not Available,Not Available,All-Rounder,Death Over Finisher,"M Chinnaswamy Stadium, Bengaluru > Narendra Modi Stadium, Ahmedabad > Wankhede Stadium, Mumbai > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, JP Inglis completely owns this bowler. Emulate that aggressive footprint.","R Shepherd is a Death Over Finisher. Strongest at M Chinnaswamy Stadium, Bengaluru. Keep away from JP Inglis who hits them at will.",Not Available,JP Inglis,181.2,207.4,11.3,13.1,15,325
A Mhatre,Not Available,Not Available,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk, Chennai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"A Mhatre is a Top Order Aggressor. Strongest at MA Chidambaram Stadium, Chepauk, Chennai. Beware of M Jansen who owns this matchup.",M Jansen,Not Available,176.4,90.0,0.0,0.0,0,0
Shahid Afridi,Not Available,Not Available,Bowler,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, SK Raina completely owns this bowler. Emulate that aggressive footprint.","Shahid Afridi is a Top Order Aggressor. Strongest at Rajiv Gandhi International Stadium, Uppal. Keep away from SK Raina who hits them at will.",Not Available,SK Raina,176.1,220.0,7.3,9.24,9,185
I Malhotra,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,I Malhotra is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,175.0,175.0,23.0,0.0,0,6
V Nigam,Not Available,Not Available,Bowler,Death Over Finisher,"Arun Jaitley Stadium, Delhi > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, JC Buttler completely owns this bowler. Emulate that aggressive footprint.","V Nigam is a Death Over Finisher. Strongest at Arun Jaitley Stadium, Delhi. Keep away from JC Buttler who hits them at will.",Not Available,JC Buttler,173.0,172.3,9.03,5.69,13,289
S Arora,Not Available,Not Available,Batsman,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,S Arora is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,169.1,177.3,0.0,0.0,0,0
PD Salt,Not Available,Not Available,Batsman,Top Order Aggressor,"Eden Gardens, Kolkata > M Chinnaswamy Stadium, Bengaluru > Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"PD Salt is a Top Order Aggressor. Strongest at Eden Gardens, Kolkata. Beware of Arshdeep Singh who owns this matchup.",Arshdeep Singh,Not Available,168.6,184.2,0.0,0.0,0,0
LJ Wright,Not Available,Not Available,Batsman,Death Over Finisher,Subrata Roy Sahara Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, V Sehwag completely owns this bowler. Emulate that aggressive footprint.",LJ Wright is a Death Over Finisher. Strongest at Subrata Roy Sahara Stadium. Beware of UT Yadav who owns this matchup.,UT Yadav,V Sehwag,168.3,221.1,9.92,11.74,2,75
KMDN Kulasekara,Not Available,Not Available,New Addition,Death Over Finisher,"MA Chidambaram Stadium, Chepauk",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Elite threat. Treat with immense respect. Focus on rotating the strike and do not take unnecessary aerial risks. Historically, JD Ryder completely owns this bowler. Emulate that aggressive footprint.","KMDN Kulasekara is a Death Over Finisher. Strongest at MA Chidambaram Stadium, Chepauk.",Not Available,JD Ryder,166.7,166.7,6.73,6.0,5,107
Shivam Sharma,Not Available,Not Available,New Addition,Death Over Finisher,M Chinnaswamy Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, KD Karthik completely owns this bowler. Emulate that aggressive footprint.",Shivam Sharma is a Death Over Finisher. Strongest at M Chinnaswamy Stadium.,Not Available,KD Karthik,166.7,166.7,8.68,9.5,4,114
KK Cooper,Not Available,Not Available,Bowler,Death Over Finisher,"Sawai Mansingh Stadium > Wankhede Stadium > Feroz Shah Kotla > Punjab Cricket Association Stadium, Mohali",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, DJ Bravo completely owns this bowler. Emulate that aggressive footprint.",KK Cooper is a Death Over Finisher. Strongest at Sawai Mansingh Stadium. Keep away from DJ Bravo who hits them at will.,Not Available,DJ Bravo,165.7,179.5,7.57,8.36,33,600
TH David,Not Available,Not Available,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru > Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"TH David is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Beware of Rashid Khan who owns this matchup.",Rashid Khan,Not Available,165.3,181.6,18.0,0.0,0,6
Kamran Akmal,Not Available,Not Available,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Kamran Akmal is a Top Order Aggressor. Strongest at MA Chidambaram Stadium, Chepauk. Beware of M Ntini who owns this matchup.",M Ntini,Not Available,164.1,152.9,0.0,0.0,0,0
SB Dubey,Not Available,Not Available,Batsman,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,SB Dubey is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,163.9,182.1,0.0,0.0,0,0
C Connolly,Not Available,Not Available,Batsman,Middle Order Anchor,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"C Connolly is a Middle Order Anchor. Strongest at Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh. Beware of Rashid Khan who owns this matchup.",Rashid Khan,Not Available,163.6,209.1,0.0,0.0,0,0
BJ Haddin,Not Available,Not Available,New Addition,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,BJ Haddin is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,163.6,0.0,0.0,0.0,0,0
AD Russell,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Eden Gardens > Eden Gardens, Kolkata > Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, AR Patel completely owns this bowler. Emulate that aggressive footprint.",AD Russell is a Middle Order Anchor. Strongest at Eden Gardens. Beware of Rashid Khan who owns this matchup. Keep away from AR Patel who hits them at will.,Rashid Khan,AR Patel,163.3,180.1,9.11,10.31,123,1885
Naman Dhir,Not Available,Not Available,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi",Unknown,Deep Square Leg,1,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Play out his deliveries on merit and wait for loose balls. ,"Naman Dhir is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai. Beware of M Prasidh Krishna who owns this matchup.",M Prasidh Krishna,Not Available,163.2,185.8,8.6,4.0,0,53
JG Bethell,Not Available,Not Available,Batsman,Top Order Aggressor,"M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"JG Bethell is a Top Order Aggressor. Strongest at M Chinnaswamy Stadium, Bengaluru. Beware of Mohammed Siraj who owns this matchup.",Mohammed Siraj,Not Available,163.1,0.0,0.0,0.0,0,0
BCJ Cutting,Not Available,Not Available,All-Rounder,Death Over Finisher,Eden Gardens > M Chinnaswamy Stadium > Feroz Shah Kotla > Wankhede Stadium,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, RR Pant completely owns this bowler. Emulate that aggressive footprint.",BCJ Cutting is a Death Over Finisher. Strongest at Eden Gardens. Beware of SR Watson who owns this matchup. Keep away from RR Pant who hits them at will.,SR Watson,RR Pant,163.0,171.4,8.94,11.23,10,288
KJ Abbott,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, F du Plessis completely owns this bowler. Emulate that aggressive footprint.",KJ Abbott is a Death Over Finisher. Strongest at most grounds.,Not Available,F du Plessis,162.5,185.7,10.41,12.72,2,102
D Ferreira,Not Available,Not Available,Batsman,Middle Order Anchor,"Sawai Mansingh Stadium, Jaipur > Rajiv Gandhi International Stadium, Uppal, Hyderabad > Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"D Ferreira is a Middle Order Anchor. Strongest at Sawai Mansingh Stadium, Jaipur. Beware of Sakib Hussain who owns this matchup.",Sakib Hussain,Not Available,161.9,183.3,14.0,0.0,1,6
TM Head,Not Available,Not Available,Batsman,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Arun Jaitley Stadium, Delhi > Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, SS Iyer completely owns this bowler. Emulate that aggressive footprint.","TM Head is a Top Order Aggressor. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of Arshdeep Singh who owns this matchup.",Arshdeep Singh,SS Iyer,161.5,169.5,11.69,9.0,2,58
C Bosch,Not Available,Not Available,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, Sameer Rizvi completely owns this bowler. Emulate that aggressive footprint.","C Bosch is a Death Over Finisher. Strongest at Wankhede Stadium, Mumbai.",Not Available,Sameer Rizvi,161.1,180.6,8.68,4.57,2,65
Abhishek Sharma,Not Available,Not Available,All-Rounder,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai > Arun Jaitley Stadium, Delhi",Unknown,Long On,1,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.","Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, Dhruv Jurel completely owns this bowler. Emulate that aggressive footprint.","Abhishek Sharma is a Top Order Aggressor. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of SN Thakur who owns this matchup. Keep away from Dhruv Jurel who hits them at will.",SN Thakur,Dhruv Jurel,160.5,141.0,8.88,15.0,11,362
OC McCoy,Not Available,Not Available,Bowler,Death Over Finisher,"Brabourne Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, DA Miller completely owns this bowler. Emulate that aggressive footprint.","OC McCoy is a Death Over Finisher. Strongest at Brabourne Stadium, Mumbai. Keep away from DA Miller who hits them at will.",Not Available,DA Miller,160.0,160.0,8.33,8.2,11,180
ER Dwivedi,Not Available,Not Available,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,ER Dwivedi is a Death Over Finisher. Strongest at most grounds.,Not Available,Not Available,160.0,211.1,0.0,0.0,0,0
H Klaasen,Not Available,Not Available,Batsman,Middle Order Anchor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Arun Jaitley Stadium, Delhi > Eden Gardens, Kolkata > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"H Klaasen is a Middle Order Anchor. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of SN Thakur who owns this matchup.",SN Thakur,Not Available,159.7,185.2,0.0,0.0,0,0
D Pretorius,Not Available,Not Available,Bowler,Death Over Finisher,"Brabourne Stadium, Mumbai > Maharashtra Cricket Association Stadium, Pune",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, N Pooran completely owns this bowler. Emulate that aggressive footprint.","D Pretorius is a Death Over Finisher. Strongest at Brabourne Stadium, Mumbai. Keep away from N Pooran who hits them at will.",Not Available,N Pooran,157.1,157.1,8.6,10.81,6,166
JP Inglis,Not Available,Not Available,Batsman,Top Order Aggressor,"Sawai Mansingh Stadium, Jaipur > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"JP Inglis is a Top Order Aggressor. Strongest at Sawai Mansingh Stadium, Jaipur. Beware of MJ Santner who owns this matchup.",MJ Santner,Not Available,157.1,147.4,0.0,0.0,0,0
Aniket Verma,Not Available,Not Available,Batsman,Middle Order Anchor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Aniket Verma is a Middle Order Anchor. Strongest at Rajiv Gandhi International Stadium, Uppal, Hyderabad. Beware of AR Patel who owns this matchup.",AR Patel,Not Available,156.9,181.0,0.0,0.0,0,0
RD Rickelton,Not Available,Not Available,Batsman,Top Order Aggressor,"Wankhede Stadium, Mumbai > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"RD Rickelton is a Top Order Aggressor. Strongest at Wankhede Stadium, Mumbai. Beware of Arshdeep Singh who owns this matchup.",Arshdeep Singh,Not Available,156.5,171.4,0.0,0.0,0,0
K Gowtham,Not Available,Not Available,All-Rounder,Death Over Finisher,"Sawai Mansingh Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Wankhede Stadium, Mumbai > Eden Gardens",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, SP Narine completely owns this bowler. Emulate that aggressive footprint.",K Gowtham is a Death Over Finisher. Strongest at Sawai Mansingh Stadium. Beware of TA Boult who owns this matchup. Keep away from SP Narine who hits them at will.,TA Boult,SP Narine,155.3,169.1,8.09,12.5,21,599
P Nissanka,Not Available,Not Available,Batsman,Top Order Aggressor,"Arun Jaitley Stadium, Delhi > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"P Nissanka is a Top Order Aggressor. Strongest at Arun Jaitley Stadium, Delhi.",Not Available,Not Available,154.8,0.0,0.0,0.0,0,0
WG Jacks,Not Available,Not Available,All-Rounder,Middle Order Anchor,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Eden Gardens, Kolkata > Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, Abhishek Sharma completely owns this bowler. Emulate that aggressive footprint.","WG Jacks is a Middle Order Anchor. Strongest at Wankhede Stadium, Mumbai. Beware of Noor Ahmad who owns this matchup. Keep away from Abhishek Sharma who hits them at will.",Noor Ahmad,Abhishek Sharma,154.7,483.3,9.5,9.43,8,151
