Team,Player_Name,Role,Country,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled
Chennai Super Kings,Kuldip Yadav,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Macneil Noronha,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Mukesh Choudhary,Bowler,India,Lower Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Target the stumps with raw pace. Look for quick dismissals.,Bowl flat and straight. Do not offer flight.,Respect Mukesh Choudhary's stock delivery. Wait for the loose ball or missed yorker at the death.,Mukesh Choudhary is a frontline Bowler. See off their best spells and attack the weaker backup bowlers.,Not Available,Not Available,75.0,90.0,9.0,10.5,25.0,480.0
Chennai Super Kings,Dian Forrester,All-Rounder,England,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Gurjapneet Singh,Bowler,India,Middle Order,Neutral Venues,Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. Historically, T Stubbs completely owns this bowler. Emulate that aggressive footprint.",Gurjapneet Singh is a Middle Order. Strongest at most grounds.,Not Available,T Stubbs,0.0,0.0,9.48,9.38,3.0,88.0
Chennai Super Kings,Anshul Kamboj,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Akeal Hosein,Bowler,West Indies,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Prashant Veer,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Kartik Sharma,Wicketkeeper,India,Middle Order Anchor,Neutral Venues,Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Kartik Sharma is a Middle Order Anchor. Strongest at most grounds.,Not Available,Not Available,113.7,115.4,0.0,0.0,0.0,0.0
Chennai Super Kings,Matthew Short,All-Rounder,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Aman Khan,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Sarfaraz Khan,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Rahul Chahar,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Matt Henry,Bowler,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Chennai Super Kings,Zak Foulkes,All-Rounder,New Zealand,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Axar Patel,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,KL Rahul,Wicketkeeper,India,Top Order Aggressor,"Dubai International Cricket Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Arun Jaitley Stadium, Delhi > Punjab Cricket Association IS Bindra Stadium",Unknown,Wicketkeeper,3.0,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.",Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,KL Rahul is a Top Order Aggressor. Strongest at Dubai International Cricket Stadium. Beware of DS Kulkarni who owns this matchup.,DS Kulkarni,Not Available,135.2,169.2,0.0,0.0,0.0,0.0
Delhi Capitals,Karun Nair,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Mitchell Starc,Bowler,Australia,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,David Miller,Batsman,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Rehan Ahmed,All-Rounder,England,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Pathum Nissanka,Batsman,Sri Lanka,Top Order Aggressor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Pathum Nissanka, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Pathum Nissanka to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Pathum Nissanka is a designated Batsman. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,132.5,147.5,0.0,0.0,0.0,0.0
Delhi Capitals,Sahil Parakh,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Prithvi Shaw,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Abhishek Porel,Wicketkeeper,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Abhishek Porel, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Abhishek Porel to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Abhishek Porel is a designated Wicketkeeper. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,141.2,156.2,0.0,0.0,0.0,0.0
Delhi Capitals,Tristan Stubbs,Wicketkeeper,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Sameer Rizvi,Batsman,India,Death Over Finisher,Neutral Venues,Cover / Boundary,Not Available,0.0,"Bowl hard lengths to Sameer Rizvi, pack the off-side field. Look for early nip-back.",Deploy spinners to restrict scoring zones. Force Sameer Rizvi to generate their own power.,Not a regular bowler. Focus purely on strike rotation if they bowl.,Sameer Rizvi is a designated Batsman. Deny them width and force them to hit straight down the ground.,Not Available,Not Available,155.0,170.0,0.0,0.0,0.0,0.0
Delhi Capitals,Ashutosh Sharma,Batsman,India,Death Over Finisher,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > Narendra Modi Stadium, Ahmedabad > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam > Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Ashutosh Sharma is a Death Over Finisher. Strongest at Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur. Beware of E Malinga who owns this matchup.",E Malinga,Not Available,152.4,162.0,0.0,0.0,0.0,0.0
Delhi Capitals,Vipraj Nigam,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Ajay Mandal,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Tripurana Vijay,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Madhav Tiwari,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Auqib Dar,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Nitish Rana,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,T. Natarajan,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Mukesh Kumar,Bowler,India,Death Over Finisher,"Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam > Narendra Modi Stadium, Ahmedabad",Unknown,Backward Point,1.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, H Klaasen completely owns this bowler. Emulate that aggressive footprint.","Mukesh Kumar is a Death Over Finisher. Strongest at Arun Jaitley Stadium, Delhi. Keep away from H Klaasen who hits them at will.",Not Available,H Klaasen,50.0,50.0,9.86,11.74,42.0,838.0
Delhi Capitals,Dushmantha Chameera,Bowler,Sri Lanka,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Lungi Ngidi,Bowler,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Delhi Capitals,Kyle Jamieson,Bowler,New Zealand,Lower Order,Neutral Venues,Cover / Boundary,Not Available,0.0,Target the stumps with raw pace. Look for quick dismissals.,Bowl flat and straight. Do not offer flight.,Respect Kyle Jamieson's stock delivery. Wait for the loose ball or missed yorker at the death.,Kyle Jamieson is a frontline Bowler. See off their best spells and attack the weaker backup bowlers.,Not Available,Not Available,105.0,120.0,8.6,10.1,85.0,1400.0
Delhi Capitals,Kuldeep Yadav,Bowler,India,Death Over Finisher,"Eden Gardens > Arun Jaitley Stadium, Delhi > Brabourne Stadium, Mumbai > Wankhede Stadium, Mumbai",Unknown,Not Available,0.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,"Play out his deliveries on merit and wait for loose balls. Historically, Abhishek Sharma completely owns this bowler. Emulate that aggressive footprint.",Kuldeep Yadav is a Death Over Finisher. Strongest at Eden Gardens. Beware of Arshdeep Singh who owns this matchup. Keep away from Abhishek Sharma who hits them at will.,Arshdeep Singh,Abhishek Sharma,79.8,86.6,8.06,8.37,109.0,2275.0
Gujarat Titans,Shubman Gill,Batsman,India,Top Order Aggressor,"Narendra Modi Stadium, Ahmedabad > Eden Gardens > Sharjah Cricket Stadium > Dubai International Cricket Stadium",Unknown,Long On,3.0,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.",Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Shubman Gill is a Top Order Aggressor. Strongest at Narendra Modi Stadium, Ahmedabad. Beware of B Kumar who owns this matchup.",B Kumar,Not Available,136.1,146.5,0.0,0.0,0.0,0.0
Gujarat Titans,Sai Sudharsan,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Kumar Kushagra,Wicketkeeper,India,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,Kumar Kushagra is a Top Order Aggressor. Strongest at most grounds.,Not Available,Not Available,100.0,0.0,0.0,0.0,0.0,0.0
Gujarat Titans,Anuj Rawat,Wicketkeeper,India,Middle Order Anchor,"M Chinnaswamy Stadium, Bengaluru > Maharashtra Cricket Association Stadium, Pune",Unknown,Deep Mid-Wicket,1.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,Target this bowler aggressively. High economy rate suggests frequent boundary deliveries. Look for gaps early. ,"Anuj Rawat is a Middle Order Anchor. Strongest at M Chinnaswamy Stadium, Bengaluru. Beware of JD Unadkat who owns this matchup.",JD Unadkat,Not Available,115.2,167.1,0.0,0.0,0.0,0.0
Gujarat Titans,Jos Buttler,Wicketkeeper,England,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Nishant Sindhu,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Washington Sundar,All-Rounder,India,Death Over Finisher,"M.Chinnaswamy Stadium > Rajiv Gandhi International Stadium, Uppal, Hyderabad > Dubai International Cricket Stadium > Wankhede Stadium, Mumbai",Unknown,Deep Mid-Wicket,6.0,Alternate Tactic (Pace): Bowl hard lengths outside off-stump. Use off-cutters rolling fingers over the seam to disrupt timing.,"Target primary weakness: Exploit the spinning ball, use variations in flight and turn away from the bat.","Play out his deliveries on merit and wait for loose balls. Historically, SV Samson completely owns this bowler. Emulate that aggressive footprint.",Washington Sundar is a Death Over Finisher. Strongest at M.Chinnaswamy Stadium. Beware of Ravi Bishnoi who owns this matchup. Keep away from SV Samson who hits them at will.,Ravi Bishnoi,SV Samson,123.6,136.8,7.68,9.44,40.0,1162.0
Gujarat Titans,Arshad Khan,All-Rounder,India,Death Over Finisher,"Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi > Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Prime target for the death overs. Attack him aggressively late in the innings as he loses his length under pressure. Historically, Abishek Porel completely owns this bowler. Emulate that aggressive footprint.","Arshad Khan is a Death Over Finisher. Strongest at Narendra Modi Stadium, Ahmedabad. Keep away from Abishek Porel who hits them at will.",Kuldeep Yadav,Abishek Porel,132.2,135.6,10.04,12.42,17.0,336.0
Gujarat Titans,Shahrukh Khan,Batsman,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Rahul Tewatia,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Kagiso Rabada,Bowler,South Africa,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Mohammed Siraj,Bowler,India,Death Over Finisher,"M Chinnaswamy Stadium, Bengaluru > Narendra Modi Stadium, Ahmedabad > Sheikh Zayed Stadium > M.Chinnaswamy Stadium",Unknown,Fine Leg,15.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, CH Gayle completely owns this bowler. Emulate that aggressive footprint.","Mohammed Siraj is a Death Over Finisher. Strongest at M Chinnaswamy Stadium, Bengaluru. Beware of DJ Bravo who owns this matchup. Keep away from CH Gayle who hits them at will.",DJ Bravo,CH Gayle,85.5,85.5,8.18,9.37,118.0,2652.0
Gujarat Titans,Prasidh Krishna,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Ishant Sharma,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Gurnoor Singh Brar,Bowler,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,Rashid Khan,Bowler,Afghanistan,Death Over Finisher,"Narendra Modi Stadium, Ahmedabad > Rajiv Gandhi International Stadium > Dubai International Cricket Stadium > Wankhede Stadium, Mumbai",Unknown,Long On,9.0,Target primary weakness: Exploit raw pace. Use well-directed bouncers at the body and yorkers to trap them.,Alternate Tactic (Spin): Toss it up wide of off-stump. Force them to generate their own power by taking the pace off.,"Play out his deliveries on merit and wait for loose balls. Historically, Rahmanullah Gurbaz completely owns this bowler. Emulate that aggressive footprint.","Rashid Khan is a Death Over Finisher. Strongest at Narendra Modi Stadium, Ahmedabad. Beware of TU Deshpande who owns this matchup. Keep away from Rahmanullah Gurbaz who hits them at will.",TU Deshpande,Rahmanullah Gurbaz,148.0,154.1,7.07,8.26,168.0,3440.0
Gujarat Titans,Manav Suthar,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
Gujarat Titans,R Sai Kishore,Bowler,India,Death Over Finisher,"Narendra Modi Stadium, Ahmedabad > Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > Wankhede Stadium, Mumbai",Unknown,Not Available,0.0,Execute standard death-over strategies: wide yorkers and back-of-a-length slower balls.,Vary pace and trajectory. Aim for the rough patches to induce a false shot.,"Play out his deliveries on merit and wait for loose balls. Historically, WG Jacks completely owns this bowler. Emulate that aggressive footprint.","R Sai Kishore is a Death Over Finisher. Strongest at Narendra Modi Stadium, Ahmedabad. Keep away from WG Jacks who hits them at will.",Not Available,WG Jacks,112.5,112.5,8.62,10.21,32.0,453.0
Gujarat Titans,Jayant Yadav,All-Rounder,India,Middle Order Anchor,Neutral Venues,Cover / Boundary,,0.0,Bowl standard lines and build pressure.,Restrict boundaries and use flight.,Rotate the strike and wait for bad balls.,Review standard match footage.,,,0.0,0.0,9.0,10.0,0.0,0.0
