Player_Name,Full_Name,Country,Role,Primary_Batting_Phase,Best_to_Worst_Venues,General_Fielding_Position,Loose_Fielding_Position,Total_Dropped_Catches,Clash_Pace_Tactic,Clash_Spin_Tactic,Batting_Against_Him_Tactic,Coach_Tape_Suggestion,Primary_Threat_Bowler,Primary_Nightmare_Batter,Overall_Bat_SR,Pressure_Bat_SR_Death,Overall_Bowl_Econ,Pressure_Bowl_Econ_Death,Wickets,Balls_Bowled,Team
FH Allen,Finn Allen,New Zealand,Batsman,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Not Available,Not Available,184.1,0.0,0.0,0.0,0,0,Kolkata Knight Riders
BKG Mendis,Kusal Mendis,Sri Lanka,New Addition,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Not Available,Not Available,181.8,0.0,0.0,0.0,0,0,Unattached
R Shepherd,Romario Shepherd,West Indies,All-Rounder,Death Over Finisher,"M Chinnaswamy Stadium, Bengaluru > Narendra Modi Stadium, Ahmedabad > Wankhede Stadium, Mumbai > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,JP Inglis,181.2,207.4,11.3,13.1,15,325,Royal Challengers Bengaluru
A Mhatre,Ayush Mhatre,India,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk, Chennai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,M Jansen,Not Available,176.4,90.0,0.0,0.0,0,0,Chennai Super Kings
Shahid Afridi,Shahid Afridi,Pakistan,Bowler,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Elite threat. Treat with immense respect. Focus on rotating the strike and attacking others.,Frontline strike bowler. See off their best spells and attack the weaker backups.,Not Available,SK Raina,176.1,220.0,7.3,9.24,9,185,Deccan Chargers
I Malhotra,Ishan Malhotra,India,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,175.0,175.0,23.0,0.0,0,6,Deccan Chargers
V Nigam,Vineet Nigam,India,Bowler,Death Over Finisher,"Arun Jaitley Stadium, Delhi > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Vulnerable to aggressive intent. Look to disrupt their length early in the over.,Not Available,JC Buttler,173.0,172.3,9.03,5.69,13,289,Unattached
S Arora,Siddarth Arora,India,Batsman,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,169.1,177.3,0.0,0.0,0,0,Unattached
PD Salt,Phil Salt,England,Batsman,Top Order Aggressor,"Eden Gardens, Kolkata > M Chinnaswamy Stadium, Bengaluru > Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Arshdeep Singh,Not Available,168.6,184.2,0.0,0.0,0,0,Royal Challengers Bengaluru
LJ Wright,Luke Wright,England,Batsman,Death Over Finisher,Subrata Roy Sahara Stadium,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,UT Yadav,V Sehwag,168.3,221.1,9.92,11.74,2,75,Pune Warriors India
KMDN Kulasekara,Nuwan Kulasekara,Sri Lanka,New Addition,Death Over Finisher,"MA Chidambaram Stadium, Chepauk",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,JD Ryder,166.7,166.7,6.73,6.0,5,107,Chennai Super Kings
Shivam Sharma,Shivam Sharma,India,New Addition,Death Over Finisher,M Chinnaswamy Stadium,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,KD Karthik,166.7,166.7,8.68,9.5,4,114,Kings XI Punjab
KK Cooper,Kevon Cooper,West Indies,Bowler,Death Over Finisher,"Sawai Mansingh Stadium > Wankhede Stadium > Feroz Shah Kotla > Punjab Cricket Association Stadium, Mohali",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Solid squad bowler. Exploit their lack of raw pace with calculated aggression.,Not Available,DJ Bravo,165.7,179.5,7.57,8.36,33,600,Rajasthan Royals
TH David,Tim David,Australia,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru > Arun Jaitley Stadium, Delhi > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Rashid Khan,Not Available,165.3,181.6,18.0,0.0,0,6,Royal Challengers Bengaluru
Kamran Akmal,Kamran Akmal,Pakistan,Batsman,Top Order Aggressor,"MA Chidambaram Stadium, Chepauk",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,M Ntini,Not Available,164.1,152.9,0.0,0.0,0,0,Rajasthan Royals
SB Dubey,Saurabh Dubey,India,Batsman,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,163.9,182.1,0.0,0.0,0,0,Sunrisers Hyderabad
C Connolly,Cooper Connolly,Australia,Batsman,Middle Order Anchor,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Rashid Khan,Not Available,163.6,209.1,0.0,0.0,0,0,Punjab Kings
BJ Haddin,Brad Haddin,Australia,New Addition,Top Order Aggressor,Neutral Venues,Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Not Available,Not Available,163.6,0.0,0.0,0.0,0,0,Kolkata Knight Riders
AD Russell,Andre Russell,West Indies,All-Rounder,Middle Order Anchor,"Eden Gardens > Eden Gardens, Kolkata > Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Commit fully to the extreme wide yorker or target the badge of the helmet. No half-measures.,Bowl leg-spin or mystery spin turning away from his hitting arc.,Slashes hard at wide balls. Wait for the pace-off cutter dug into the pitch.,Clears his front leg. Pack the off-side boundary and force him to reach for wide deliveries.,Rashid Khan,AR Patel,163.3,180.1,9.11,10.31,123,1885,Kolkata Knight Riders
Naman Dhir,Naman Dhir,India,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Arun Jaitley Stadium, Delhi",Unknown,Deep Square Leg,1,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,M Prasidh Krishna,Not Available,163.2,185.8,8.6,4.0,0,53,Mumbai Indians
JG Bethell,Jacob Bethell,England,Batsman,Top Order Aggressor,"M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Mohammed Siraj,Not Available,163.1,0.0,0.0,0.0,0,0,Royal Challengers Bengaluru
BCJ Cutting,Ben Cutting,Australia,All-Rounder,Death Over Finisher,Eden Gardens > M Chinnaswamy Stadium > Feroz Shah Kotla > Wankhede Stadium,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,SR Watson,RR Pant,163.0,171.4,8.94,11.23,10,288,Mumbai Indians
KJ Abbott,Kyle Abbott,South Africa,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,F du Plessis,162.5,185.7,10.41,12.72,2,102,Punjab Kings
D Ferreira,Donovan Ferreira,South Africa,Batsman,Middle Order Anchor,"Sawai Mansingh Stadium, Jaipur > Rajiv Gandhi International Stadium, Uppal, Hyderabad > Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Sakib Hussain,Not Available,161.9,183.3,14.0,0.0,1,6,Rajasthan Royals
TM Head,Travis Head,Australia,Batsman,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Arun Jaitley Stadium, Delhi > Wankhede Stadium, Mumbai > M Chinnaswamy Stadium, Bengaluru",Unknown,Not Available,0,Highly susceptible to express pace swinging back into the pads. Target the base of middle and leg stump.,Bowl pace-off cutters and slow left-arm orthodox to force him to generate his own power.,"Respect the pitch if it's turning, otherwise attack his part-time off-spin.",Devastating in the powerplay. Don't give him width outside off. Attack the stumps with swing.,Arshdeep Singh,SS Iyer,161.5,169.5,11.69,9.0,2,58,Sunrisers Hyderabad
C Bosch,Corbin Bosch,South Africa,Batsman,Death Over Finisher,"Wankhede Stadium, Mumbai",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Sameer Rizvi,161.1,180.6,8.68,4.57,2,65,Mumbai Indians
Abhishek Sharma,Abhishek Sharma,India,All-Rounder,Top Order Aggressor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Wankhede Stadium, Mumbai > MA Chidambaram Stadium, Chepauk, Chennai > Arun Jaitley Stadium, Delhi",Unknown,Long On,1,Tends to slash hard at deliveries angling across him. Bowl back of a length outside off.,Vulnerable to high-quality off-spin dragging him out of his crease.,Part-time spinner. Target him to break his rhythm.,Aggressive opener. Angle the ball across him with high pace and pack the point boundary.,SN Thakur,Dhruv Jurel,160.5,141.0,8.88,15.0,11,362,Sunrisers Hyderabad
OC McCoy,Obed McCoy,West Indies,Bowler,Death Over Finisher,"Brabourne Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Solid squad bowler. Exploit their lack of raw pace with calculated aggression.,Not Available,DA Miller,160.0,160.0,8.33,8.2,11,180,Rajasthan Royals
ER Dwivedi,Eklavya Dwivedi,India,New Addition,Death Over Finisher,Neutral Venues,Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,Not Available,Not Available,160.0,211.1,0.0,0.0,0,0,Gujarat Lions
H Klaasen,Heinrich Klaasen,South Africa,Batsman,Middle Order Anchor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Arun Jaitley Stadium, Delhi > Eden Gardens, Kolkata > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,"Bogged down by extremely wide, slow off-cutters and wide bouncers well outside his arc.",Do NOT bowl spin to him between overs 12-16. He will destroy it.,Not a regular bowler.,The best spin-hitter in the world. Rely entirely on pace-off variations outside the off-stump.,SN Thakur,Not Available,159.7,185.2,0.0,0.0,0,0,Sunrisers Hyderabad
D Pretorius,Dwaine Pretorius,South Africa,Bowler,Death Over Finisher,"Brabourne Stadium, Mumbai > Maharashtra Cricket Association Stadium, Pune",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Solid squad bowler. Exploit their lack of raw pace with calculated aggression.,Not Available,N Pooran,157.1,157.1,8.6,10.81,6,166,Chennai Super Kings
JP Inglis,Josh Inglis,Australia,Batsman,Top Order Aggressor,"Sawai Mansingh Stadium, Jaipur > Narendra Modi Stadium, Ahmedabad",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,MJ Santner,Not Available,157.1,147.4,0.0,0.0,0,0,Lucknow Super Giants
Aniket Verma,Aniket Verma,India,Batsman,Middle Order Anchor,"Rajiv Gandhi International Stadium, Uppal, Hyderabad > Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,AR Patel,Not Available,156.9,181.0,0.0,0.0,0,0,Unattached
RD Rickelton,Ryan Rickelton,South Africa,Batsman,Top Order Aggressor,"Wankhede Stadium, Mumbai > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Arshdeep Singh,Not Available,156.5,171.4,0.0,0.0,0,0,Mumbai Indians
K Gowtham,Krishnappa Gowtham,India,All-Rounder,Death Over Finisher,"Sawai Mansingh Stadium > Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Wankhede Stadium, Mumbai > Eden Gardens",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Play out their good deliveries on merit. Look to capitalize on the missed yorker at the death.,Lethal lower-order hitter. Deny them the arc. Force them to reach for dipping slower balls.,TA Boult,SP Narine,155.3,169.1,8.09,12.5,21,599,Lucknow Super Giants
P Nissanka,Pathum Nissanka,Sri Lanka,Batsman,Top Order Aggressor,"Arun Jaitley Stadium, Delhi > Sawai Mansingh Stadium, Jaipur",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,Not Available,Not Available,154.8,0.0,0.0,0.0,0,0,Delhi Capitals
WG Jacks,Will Jacks,England,All-Rounder,Middle Order Anchor,"Wankhede Stadium, Mumbai > Narendra Modi Stadium, Ahmedabad > Eden Gardens, Kolkata > Rajiv Gandhi International Stadium, Uppal, Hyderabad",Unknown,Not Available,0,Deploy slow off-cutters gripping into the pitch outside the off-stump.,Use high-quality wrist spin tossed up wide to invite the mistimed slog sweep.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Middle-order anchor. Build dot-ball pressure with tight lines to force a frustrated lofted shot.,Noor Ahmad,Abhishek Sharma,154.7,483.3,9.5,9.43,8,151,Mumbai Indians
SP Narine,Sunil Narine,West Indies,All-Rounder,Top Order Aggressor,"Eden Gardens > Eden Gardens, Kolkata > Sheikh Zayed Stadium > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Cannot handle express pace directed straight at the armpit or throat.,Do not bowl spin to him in the powerplay.,Struggles to turn the ball on flat decks. Play the ball late and look for singles.,"Pinch-hitter and mystery spinner. Bounce him out with the bat, play him cautiously with the ball.",JD Unadkat,TK Curran,154.5,112.7,6.69,7.14,201,4586,Kolkata Knight Riders
J Overton,Jamie Overton,England,Bowler,Death Over Finisher,"MA Chidambaram Stadium, Chepauk, Chennai > Rajiv Gandhi International Stadium, Uppal, Hyderabad > M Chinnaswamy Stadium, Bengaluru > Barsapara Cricket Stadium, Guwahati",Unknown,Not Available,0,Commit fully to wide pace-off cutters dug into the pitch. Do not bowl at the stumps.,Bowl flat darts aimed at the base of the stumps. Do not offer flight.,Target this bowler aggressively. High economy rate suggests frequent loose boundary deliveries.,Vulnerable to aggressive intent. Look to disrupt their length early in the over.,Not Available,Ramandeep Singh,154.1,155.2,9.99,9.65,9,161,Chennai Super Kings
N Pooran,Nicholas Pooran,West Indies,Batsman,Middle Order Anchor,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow > Dubai International Cricket Stadium > Eden Gardens, Kolkata > Wankhede Stadium, Mumbai",Unknown,Not Available,0,"Struggles to generate power on short, slow bouncers angled across his body.",Vulnerable to mystery spin turning away from the bat.,Not a regular bowler.,Destructive hitter. Force him to hit square of the wicket using pace-off variations.,K Rabada,Not Available,154.1,163.0,0.0,0.0,0,0,Lucknow Super Giants
P Simran Singh,Prabhsimran Singh,India,Batsman,Top Order Aggressor,"Himachal Pradesh Cricket Association Stadium, Dharamsala > Arun Jaitley Stadium, Delhi > Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur > MA Chidambaram Stadium, Chepauk, Chennai",Unknown,Not Available,0,Target the front pad with sharp inswing early in the spell. Highly vulnerable in the first 10 balls.,Use flight and variations in pace. Drag them wide of the crease to induce a sliced drive.,Not a regular bowler. Focus purely on strike rotation if they are brought on.,Explosive top-order threat. Deny them width early and attack the pads to disrupt their timing.,B Kumar,Not Available,153.7,175.6,0.0,0.0,0,0,Punjab Kings
